instance,tw,detkdecomp
hypergraphs_grid5.hg,3,0.49
hypergraphs_hole9.hg,-1,TO
hypergraphs_job-10a.hg,1,0.25
hypergraphs_job-11a.hg,1,0.25
hypergraphs_job-12a.hg,1,0.26
hypergraphs_job-13a.hg,1,0.25
hypergraphs_job-14a.hg,2,0.27
hypergraphs_job-15a.hg,1,0.25
hypergraphs_job-16a.hg,1,0.21
hypergraphs_job-17a.hg,1,0.2
hypergraphs_job-18a.hg,1,0.22
hypergraphs_job-19a.hg,1,0.24
hypergraphs_job-1a.hg,1,0.23
hypergraphs_job-20a.hg,2,0.24
hypergraphs_job-21a.hg,1,0.25
hypergraphs_job-22a.hg,2,0.28
hypergraphs_job-23a.hg,2,0.28
hypergraphs_job-24a.hg,1,0.29
hypergraphs_job-25a.hg,1,0.24
hypergraphs_job-26a.hg,2,0.24
hypergraphs_job-27a.hg,1,0.24
hypergraphs_job-28a.hg,2,0.26
hypergraphs_job-29a.hg,2,0.26
hypergraphs_job-2a.hg,1,0.21
hypergraphs_job-30a.hg,1,0.2
hypergraphs_job-31a.hg,1,0.19
hypergraphs_job-32a.hg,1,0.15
hypergraphs_job-33a.hg,1,0.28
hypergraphs_job-3a.hg,1,0.13
hypergraphs_job-4a.hg,1,0.14
hypergraphs_job-5a.hg,1,0.24
hypergraphs_job-6a.hg,1,0.23
hypergraphs_job-7a.hg,1,0.15
hypergraphs_job-8a.hg,1,0.14
hypergraphs_job-9a.hg,1,0.16
hypergraphs_Kakuro-easy-000-ext.xml.hg,3,0.32
hypergraphs_Kakuro-easy-001-ext.xml.hg,3,0.44
hypergraphs_Kakuro-easy-002-ext.xml.hg,2,0.62
hypergraphs_Kakuro-easy-003-ext.xml.hg,3,0.84
hypergraphs_Kakuro-easy-004-ext.xml.hg,3,0.75
hypergraphs_Kakuro-easy-005-ext.xml.hg,4,48.75
hypergraphs_Kakuro-easy-006-ext.xml.hg,4,79.54
hypergraphs_Kakuro-easy-007-ext.xml.hg,3,0.92
hypergraphs_Kakuro-easy-008-ext.xml.hg,4,95.77
hypergraphs_Kakuro-easy-009-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-easy-010-ext.xml.hg,3,0.97
hypergraphs_Kakuro-easy-011-ext.xml.hg,4,66.14
hypergraphs_Kakuro-easy-012-ext.xml.hg,3,0.95
hypergraphs_Kakuro-easy-013-ext.xml.hg,3,0.83
hypergraphs_Kakuro-easy-014-ext.xml.hg,3,0.77
hypergraphs_Kakuro-easy-015-ext.xml.hg,4,68.68
hypergraphs_Kakuro-easy-016-ext.xml.hg,3,0.93
hypergraphs_Kakuro-easy-017-ext.xml.hg,3,0.92
hypergraphs_Kakuro-easy-018-ext.xml.hg,3,0.84
hypergraphs_Kakuro-easy-019-ext.xml.hg,4,118.88
hypergraphs_Kakuro-easy-020-ext.xml.hg,4,73.78
hypergraphs_Kakuro-easy-021-ext.xml.hg,3,0.88
hypergraphs_Kakuro-easy-022-ext.xml.hg,3,0.84
hypergraphs_Kakuro-easy-023-ext.xml.hg,4,180.92
hypergraphs_Kakuro-easy-024-ext.xml.hg,3,0.97
hypergraphs_Kakuro-easy-025-ext.xml.hg,4,81.94
hypergraphs_Kakuro-easy-026-ext.xml.hg,4,41.48
hypergraphs_Kakuro-easy-027-ext.xml.hg,4,123.61
hypergraphs_Kakuro-easy-028-ext.xml.hg,4,85.42
hypergraphs_Kakuro-easy-029-ext.xml.hg,3,0.71
hypergraphs_Kakuro-easy-030-ext.xml.hg,4,60.96
hypergraphs_Kakuro-easy-031-ext.xml.hg,4,33.32
hypergraphs_Kakuro-easy-032-ext.xml.hg,3,0.91
hypergraphs_Kakuro-easy-033-ext.xml.hg,4,70.59
hypergraphs_Kakuro-easy-034-ext.xml.hg,3,1.01
hypergraphs_Kakuro-easy-035-ext.xml.hg,3,0.83
hypergraphs_Kakuro-easy-036-ext.xml.hg,3,0.65
hypergraphs_Kakuro-easy-037-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-038-ext.xml.hg,4,67.78
hypergraphs_Kakuro-easy-039-ext.xml.hg,4,67.22
hypergraphs_Kakuro-easy-040-ext.xml.hg,4,83.21
hypergraphs_Kakuro-easy-041-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-042-ext.xml.hg,4,93.66
hypergraphs_Kakuro-easy-043-ext.xml.hg,4,93.11
hypergraphs_Kakuro-easy-044-ext.xml.hg,4,132.52
hypergraphs_Kakuro-easy-045-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-046-ext.xml.hg,4,74.05
hypergraphs_Kakuro-easy-047-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-048-ext.xml.hg,4,132.58
hypergraphs_Kakuro-easy-049-ext.xml.hg,3,1.21
hypergraphs_Kakuro-easy-050-ext.xml.hg,4,155.39
hypergraphs_Kakuro-easy-051-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-052-ext.xml.hg,4,259.66
hypergraphs_Kakuro-easy-053-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-054-ext.xml.hg,4,231.79
hypergraphs_Kakuro-easy-055-ext.xml.hg,4,199.32
hypergraphs_Kakuro-easy-056-ext.xml.hg,3,1.09
hypergraphs_Kakuro-easy-057-ext.xml.hg,4,179.24
hypergraphs_Kakuro-easy-058-ext.xml.hg,3,6.66
hypergraphs_Kakuro-easy-059-ext.xml.hg,3,1.79
hypergraphs_Kakuro-easy-060-ext.xml.hg,4,1765.64
hypergraphs_Kakuro-easy-061-ext.xml.hg,3,3.3
hypergraphs_Kakuro-easy-062-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-064-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-065-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-068-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-069-ext.xml.hg,3,3.19
hypergraphs_Kakuro-easy-070-ext.xml.hg,3,6.18
hypergraphs_Kakuro-easy-071-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-072-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-073-ext.xml.hg,3,3.21
hypergraphs_Kakuro-easy-074-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-075-ext.xml.hg,3,3.21
hypergraphs_Kakuro-easy-076-ext.xml.hg,3,3.43
hypergraphs_Kakuro-easy-083-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-084-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-086-ext.xml.hg,4,2377.57
hypergraphs_Kakuro-easy-087-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-088-ext.xml.hg,3,8.32
hypergraphs_Kakuro-easy-089-ext.xml.hg,4,2420.25
hypergraphs_Kakuro-easy-091-ext.xml.hg,3,5.59
hypergraphs_Kakuro-easy-093-ext.xml.hg,3,4.43
hypergraphs_Kakuro-easy-094-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-096-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-easy-097-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-098-ext.xml.hg,3,3.62
hypergraphs_Kakuro-easy-099-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-103-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-104-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-106-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-109-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-112-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-113-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-114-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-115-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-117-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-118-ext.xml.hg,4,2310.41
hypergraphs_Kakuro-easy-120-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-121-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-122-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-123-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-124-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-125-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-126-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-127-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-128-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-129-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-130-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-131-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-132-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-133-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-134-ext.xml.hg,4,3343.49
hypergraphs_Kakuro-easy-135-ext.xml.hg,4,3189.83
hypergraphs_Kakuro-easy-136-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-138-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-139-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-142-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-146-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-148-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-149-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-150-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-151-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-152-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-153-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-154-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-155-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-156-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-157-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-161-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-162-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-163-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-164-ext.xml.hg,-1,TO
hypergraphs_Kakuro-easy-165-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-000-ext.xml.hg,3,0.29
hypergraphs_Kakuro-hard-001-ext.xml.hg,3,0.3
hypergraphs_Kakuro-hard-002-ext.xml.hg,2,0.47
hypergraphs_Kakuro-hard-003-ext.xml.hg,3,0.72
hypergraphs_Kakuro-hard-004-ext.xml.hg,3,0.63
hypergraphs_Kakuro-hard-005-ext.xml.hg,4,51.93
hypergraphs_Kakuro-hard-006-ext.xml.hg,4,83.44
hypergraphs_Kakuro-hard-007-ext.xml.hg,3,0.91
hypergraphs_Kakuro-hard-008-ext.xml.hg,4,81.85
hypergraphs_Kakuro-hard-009-ext.xml.hg,3,0.92
hypergraphs_Kakuro-hard-010-ext.xml.hg,3,0.84
hypergraphs_Kakuro-hard-011-ext.xml.hg,4,73.84
hypergraphs_Kakuro-hard-012-ext.xml.hg,3,0.97
hypergraphs_Kakuro-hard-013-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-hard-014-ext.xml.hg,3,0.77
hypergraphs_Kakuro-hard-015-ext.xml.hg,4,68.55
hypergraphs_Kakuro-hard-016-ext.xml.hg,3,0.84
hypergraphs_Kakuro-hard-017-ext.xml.hg,3,0.89
hypergraphs_Kakuro-hard-018-ext.xml.hg,3,0.73
hypergraphs_Kakuro-hard-019-ext.xml.hg,4,119.6
hypergraphs_Kakuro-hard-020-ext.xml.hg,4,81.65
hypergraphs_Kakuro-hard-021-ext.xml.hg,3,0.91
hypergraphs_Kakuro-hard-022-ext.xml.hg,-1,RTE
hypergraphs_Kakuro-hard-023-ext.xml.hg,4,185.13
hypergraphs_Kakuro-hard-024-ext.xml.hg,3,0.92
hypergraphs_Kakuro-hard-025-ext.xml.hg,4,81.88
hypergraphs_Kakuro-hard-026-ext.xml.hg,4,44.09
hypergraphs_Kakuro-hard-027-ext.xml.hg,4,126.59
hypergraphs_Kakuro-hard-028-ext.xml.hg,4,83.45
hypergraphs_Kakuro-hard-029-ext.xml.hg,3,0.79
hypergraphs_Kakuro-hard-030-ext.xml.hg,4,64.89
hypergraphs_Kakuro-hard-031-ext.xml.hg,4,33.09
hypergraphs_Kakuro-hard-032-ext.xml.hg,3,0.91
hypergraphs_Kakuro-hard-033-ext.xml.hg,4,69.67
hypergraphs_Kakuro-hard-034-ext.xml.hg,3,0.96
hypergraphs_Kakuro-hard-035-ext.xml.hg,3,0.71
hypergraphs_Kakuro-hard-036-ext.xml.hg,3,0.8
hypergraphs_Kakuro-hard-037-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-038-ext.xml.hg,4,69.38
hypergraphs_Kakuro-hard-039-ext.xml.hg,4,69.85
hypergraphs_Kakuro-hard-040-ext.xml.hg,4,86.71
hypergraphs_Kakuro-hard-041-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-042-ext.xml.hg,4,89.46
hypergraphs_Kakuro-hard-043-ext.xml.hg,4,93.07
hypergraphs_Kakuro-hard-044-ext.xml.hg,4,129.09
hypergraphs_Kakuro-hard-045-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-046-ext.xml.hg,4,74.37
hypergraphs_Kakuro-hard-047-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-048-ext.xml.hg,4,135.36
hypergraphs_Kakuro-hard-049-ext.xml.hg,3,1.2
hypergraphs_Kakuro-hard-050-ext.xml.hg,4,163.91
hypergraphs_Kakuro-hard-051-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-052-ext.xml.hg,4,287.44
hypergraphs_Kakuro-hard-053-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-054-ext.xml.hg,4,230.02
hypergraphs_Kakuro-hard-055-ext.xml.hg,4,202.84
hypergraphs_Kakuro-hard-056-ext.xml.hg,3,1.29
hypergraphs_Kakuro-hard-057-ext.xml.hg,4,197.46
hypergraphs_Kakuro-hard-058-ext.xml.hg,3,5.87
hypergraphs_Kakuro-hard-059-ext.xml.hg,3,1.75
hypergraphs_Kakuro-hard-060-ext.xml.hg,4,1894.26
hypergraphs_Kakuro-hard-061-ext.xml.hg,3,3.19
hypergraphs_Kakuro-hard-062-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-064-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-065-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-068-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-069-ext.xml.hg,3,3.19
hypergraphs_Kakuro-hard-070-ext.xml.hg,3,6.4
hypergraphs_Kakuro-hard-071-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-072-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-073-ext.xml.hg,3,3.31
hypergraphs_Kakuro-hard-074-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-075-ext.xml.hg,3,3.4
hypergraphs_Kakuro-hard-078-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-083-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-084-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-086-ext.xml.hg,4,2320.33
hypergraphs_Kakuro-hard-087-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-088-ext.xml.hg,3,8.05
hypergraphs_Kakuro-hard-090-ext.xml.hg,3,7.05
hypergraphs_Kakuro-hard-092-ext.xml.hg,3,4.36
hypergraphs_Kakuro-hard-093-ext.xml.hg,3,4.01
hypergraphs_Kakuro-hard-094-ext.xml.hg,-1,TO
hypergraphs_Kakuro-hard-096-ext.xml.hg,3,5.58
