instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_k_8_12.phy,94,TO,265.83,358.29
phylogeny_ms_exp1_k_8_13.phy,59,15.65,2.78,131.17
phylogeny_ms_exp1_k_8_14.phy,74,315.02,31.47,338.47
phylogeny_ms_exp1_k_8_15.phy,90,TO,188.56,14.09
phylogeny_ms_exp1_k_8_16.phy,88,1221.37,81.33,TO
phylogeny_ms_exp1_k_8_17.phy,100,TO,203.52,1744.28
phylogeny_ms_exp1_k_8_18.phy,64,21.69,6.19,287.1
phylogeny_ms_exp1_k_8_19.phy,66,18.77,4.31,17.21
phylogeny_ms_exp1_k_8_1.phy,29,15.02,3.76,TO
phylogeny_ms_exp1_k_8_2.phy,83,TO,457.41,23.740000000000002
phylogeny_ms_exp1_k_8_3.phy,84,68.66,13.73,12.23
phylogeny_ms_exp1_k_8_4.phy,13,5.03,2.31,210.77
phylogeny_ms_exp1_k_8_5.phy,80,TO,71.36,TO
phylogeny_ms_exp1_k_8_6.phy,94,TO,75.27,TO
phylogeny_ms_exp1_k_8_7.phy,70,146.46,18.86,59.88
phylogeny_ms_exp1_k_8_8.phy,63,16.21,6.33,606.69
phylogeny_ms_exp1_k_8_9.phy,87,TO,143.56,TO
phylogeny_ms_exp1_n_100_0.phy,26,588.49,18.55,TO
phylogeny_ms_exp1_n_100_10.phy,30,TO,872.68,TO
phylogeny_ms_exp1_n_100_11.phy,21,12.56,1.72,TO
phylogeny_ms_exp1_n_100_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_100_13.phy,21,33.28,4.15,TO
phylogeny_ms_exp1_n_100_14.phy,30,8.67,3.87,TO
phylogeny_ms_exp1_n_100_15.phy,7,11.7,2.16,410.34
phylogeny_ms_exp1_n_100_16.phy,42,TO,1811.12,TO
phylogeny_ms_exp1_n_100_17.phy,0,0.45,0.29,1296.81
phylogeny_ms_exp1_n_100_18.phy,14,MO,280.51,TO
phylogeny_ms_exp1_n_100_19.phy,14,2.55,0.65,661.37
phylogeny_ms_exp1_n_100_1.phy,6,5.88,0.92,1754.17
phylogeny_ms_exp1_n_100_2.phy,3,2.87,0.74,TO
phylogeny_ms_exp1_n_100_3.phy,8,2.44,0.81,TO
phylogeny_ms_exp1_n_100_4.phy,46,TO,297.55,TO
phylogeny_ms_exp1_n_100_5.phy,7,TO,83.57,MO
phylogeny_ms_exp1_n_100_6.phy,25,TO,860.42,1376.38
phylogeny_ms_exp1_n_100_7.phy,8,3.11,0.62,TO
phylogeny_ms_exp1_n_100_8.phy,30,TO,50.87,TO
phylogeny_ms_exp1_n_100_9.phy,2,13.74,2.43,101.74000000000001
phylogeny_ms_exp1_n_120_0.phy,16,94.59,5.61,228.01
phylogeny_ms_exp1_n_120_10.phy,12,24.43,2.53,TO
phylogeny_ms_exp1_n_120_11.phy,18,32.25,4.62,557.31
phylogeny_ms_exp1_n_120_12.phy,28,359.58,19.75,TO
phylogeny_ms_exp1_n_120_13.phy,12,10.13,2.15,189.19
phylogeny_ms_exp1_n_120_14.phy,56,TO,115.84,TO
phylogeny_ms_exp1_n_120_15.phy,24,548.57,23.38,2917.88
phylogeny_ms_exp1_n_120_16.phy,20,2.33,1.02,2388.52
phylogeny_ms_exp1_n_120_17.phy,25,261.3,10.96,TO
phylogeny_ms_exp1_n_120_18.phy,50,TO,198.55,1079.1
phylogeny_ms_exp1_n_120_19.phy,49,TO,2759.94,TO
phylogeny_ms_exp1_n_120_1.phy,26,174.38,13.51,TO
phylogeny_ms_exp1_n_120_2.phy,43,MO,655.88,TO
phylogeny_ms_exp1_n_120_3.phy,12,16.22,3.3,TO
phylogeny_ms_exp1_n_120_4.phy,38,163.51000000000002,6.28,3246.8
phylogeny_ms_exp1_n_120_5.phy,29,TO,49.23,TO
phylogeny_ms_exp1_n_120_6.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_120_7.phy,27,1079.28,32.0,TO
phylogeny_ms_exp1_n_120_8.phy,10,56.06,2.9,365.67
phylogeny_ms_exp1_n_120_9.phy,25,TO,121.11,TO
phylogeny_ms_exp1_n_140_0.phy,54,TO,939.28,TO
phylogeny_ms_exp1_n_140_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_140_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_140_12.phy,21,TO,246.24,TO
phylogeny_ms_exp1_n_140_13.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_140_14.phy,25,TO,182.17,713.1099999999999
phylogeny_ms_exp1_n_140_15.phy,5,625.27,46.78,TO
phylogeny_ms_exp1_n_140_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_140_17.phy,30,TO,92.61,TO
phylogeny_ms_exp1_n_140_18.phy,13,110.47,19.37,TO
phylogeny_ms_exp1_n_140_19.phy,50,TO,2493.8900000000003,TO
phylogeny_ms_exp1_n_140_1.phy,70,TO,368.48,TO
phylogeny_ms_exp1_n_140_2.phy,13,1.55,1.05,269.68
phylogeny_ms_exp1_n_140_3.phy,10,8.09,2.08,TO
phylogeny_ms_exp1_n_140_4.phy,45,TO,61.1,TO
phylogeny_ms_exp1_n_140_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_140_6.phy,45,57.88,5.64,TO
phylogeny_ms_exp1_n_140_7.phy,29,TO,1108.7,TO
phylogeny_ms_exp1_n_140_8.phy,56,TO,973.15,TO
phylogeny_ms_exp1_n_140_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_160_0.phy,28,TO,252.49,TO
phylogeny_ms_exp1_n_160_10.phy,38,TO,169.32,TO
phylogeny_ms_exp1_n_160_11.phy,54,TO,144.31,TO
phylogeny_ms_exp1_n_160_12.phy,79,TO,3447.91,TO
phylogeny_ms_exp1_n_160_13.phy,45,287.09,41.86,TO
phylogeny_ms_exp1_n_160_14.phy,32,TO,251.76,TO
phylogeny_ms_exp1_n_160_15.phy,42,622.49,82.37,TO
phylogeny_ms_exp1_n_160_16.phy,59,TO,198.78,TO
phylogeny_ms_exp1_n_160_17.phy,2,68.05,11.36,TO
phylogeny_ms_exp1_n_160_18.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_160_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_160_1.phy,37,TO,144.1,TO
phylogeny_ms_exp1_n_160_2.phy,48,TO,144.94,TO
phylogeny_ms_exp1_n_160_3.phy,68,TO,98.58,TO
phylogeny_ms_exp1_n_160_4.phy,46,TO,1457.16,TO
phylogeny_ms_exp1_n_160_5.phy,13,2528.9,175.93,TO
phylogeny_ms_exp1_n_160_6.phy,84,TO,364.22,TO
phylogeny_ms_exp1_n_160_7.phy,31,3.86,1.53,TO
phylogeny_ms_exp1_n_160_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_160_9.phy,7,2425.8,71.36,MO
phylogeny_ms_exp1_n_180_0.phy,50,TO,351.65,TO
phylogeny_ms_exp1_n_180_10.phy,87,TO,961.76,TO
phylogeny_ms_exp1_n_180_11.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_180_12.phy,68,TO,1323.05,TO
phylogeny_ms_exp1_n_180_13.phy,61,TO,368.52,TO
phylogeny_ms_exp1_n_180_14.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_180_15.phy,47,TO,3200.98,TO
phylogeny_ms_exp1_n_180_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_180_17.phy,33,TO,289.78000000000003,TO
phylogeny_ms_exp1_n_180_18.phy,64,TO,304.26,336.32
phylogeny_ms_exp1_n_180_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_180_1.phy,38,TO,1566.3700000000001,TO
phylogeny_ms_exp1_n_180_2.phy,51,TO,3338.47,TO
phylogeny_ms_exp1_n_180_3.phy,79,TO,2053.62,TO
phylogeny_ms_exp1_n_180_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_180_5.phy,65,TO,768.89,TO
phylogeny_ms_exp1_n_180_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_180_7.phy,49,TO,1009.27,TO
phylogeny_ms_exp1_n_180_8.phy,73,TO,134.52,TO
phylogeny_ms_exp1_n_180_9.phy,60,TO,586.64,724.4499999999999
phylogeny_ms_exp1_n_200_0.phy,9,TO,111.39,MO
phylogeny_ms_exp1_n_200_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_200_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_200_12.phy,88,TO,TO,2024.95
phylogeny_ms_exp1_n_200_13.phy,69,TO,230.81,TO
phylogeny_ms_exp1_n_200_14.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_200_15.phy,11,179.89,52.51,MO
phylogeny_ms_exp1_n_200_16.phy,71,TO,277.62,MO
phylogeny_ms_exp1_n_200_17.phy,84,TO,477.26,TO
phylogeny_ms_exp1_n_200_18.phy,64,TO,265.5,TO
phylogeny_ms_exp1_n_200_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_200_1.phy,8,41.11,9.33,TO
phylogeny_ms_exp1_n_200_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_200_3.phy,15,908.62,72.42,TO
phylogeny_ms_exp1_n_200_4.phy,94,TO,1483.1000000000001,TO
phylogeny_ms_exp1_n_200_5.phy,65,1604.2,40.48,TO
phylogeny_ms_exp1_n_200_6.phy,38,TO,635.38,MO
phylogeny_ms_exp1_n_200_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_200_8.phy,91,TO,161.51,TO
phylogeny_ms_exp1_n_200_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_20_0.phy,0,0.03,0.02,90.07
phylogeny_ms_exp1_n_20_10.phy,0,0.01,0.01,0.03
phylogeny_ms_exp1_n_20_11.phy,0,0.03,0.02,0.060000000000000005
phylogeny_ms_exp1_n_20_12.phy,0,0.02,0.01,0.03
phylogeny_ms_exp1_n_20_13.phy,0,0.03,0.01,163.03
phylogeny_ms_exp1_n_20_14.phy,1,0.03,0.01,22.2
phylogeny_ms_exp1_n_20_15.phy,0,0.03,0.03,349.34
phylogeny_ms_exp1_n_20_16.phy,0,0.03,0.01,16.01
phylogeny_ms_exp1_n_20_17.phy,0,0.03,0.02,0.01
phylogeny_ms_exp1_n_20_18.phy,0,0.03,0.03,0.060000000000000005
phylogeny_ms_exp1_n_20_19.phy,0,0.04,0.03,0.04
phylogeny_ms_exp1_n_20_1.phy,1,0.04,0.03,14.94
phylogeny_ms_exp1_n_20_2.phy,0,0.03,0.01,0.01
phylogeny_ms_exp1_n_20_3.phy,0,0.03,0.01,0.28
phylogeny_ms_exp1_n_20_4.phy,0,0.02,0.02,0.03
phylogeny_ms_exp1_n_20_5.phy,0,0.02,0.01,0.07
phylogeny_ms_exp1_n_20_6.phy,0,0.02,0.01,0.03
phylogeny_ms_exp1_n_20_7.phy,0,0.03,0.02,8.540000000000001
phylogeny_ms_exp1_n_20_8.phy,0,0.06,0.01,44.14
phylogeny_ms_exp1_n_20_9.phy,0,0.02,0.03,0.06
phylogeny_ms_exp1_n_220_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_10.phy,32,TO,206.34,MO
phylogeny_ms_exp1_n_220_11.phy,41,TO,1970.94,TO
phylogeny_ms_exp1_n_220_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_13.phy,9,TO,1193.51,MO
phylogeny_ms_exp1_n_220_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_17.phy,1,160.35,93.24,MO
phylogeny_ms_exp1_n_220_18.phy,40,TO,310.52,TO
phylogeny_ms_exp1_n_220_19.phy,43,TO,1330.78,MO
phylogeny_ms_exp1_n_220_1.phy,25,7.4,4.28,TO
phylogeny_ms_exp1_n_220_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_3.phy,76,TO,3475.68,MO
phylogeny_ms_exp1_n_220_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_5.phy,48,TO,884.13,TO
phylogeny_ms_exp1_n_220_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_7.phy,49,TO,126.76,MO
phylogeny_ms_exp1_n_220_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_220_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_19.phy,73,TO,1117.78,MO
phylogeny_ms_exp1_n_240_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_3.phy,43,TO,581.04,MO
phylogeny_ms_exp1_n_240_4.phy,39,TO,3300.8,MO
phylogeny_ms_exp1_n_240_5.phy,29,557.86,96.19,MO
phylogeny_ms_exp1_n_240_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_240_9.phy,26,TO,2077.77,TO
phylogeny_ms_exp1_n_260_0.phy,48,TO,1449.71,MO
phylogeny_ms_exp1_n_260_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_11.phy,12,2295.25,361.44,MO
phylogeny_ms_exp1_n_260_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_13.phy,17,TO,2861.71,MO
phylogeny_ms_exp1_n_260_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_16.phy,129,TO,3357.76,477.72
phylogeny_ms_exp1_n_260_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_19.phy,50,TO,350.23,MO
phylogeny_ms_exp1_n_260_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_2.phy,36,TO,497.4,MO
phylogeny_ms_exp1_n_260_3.phy,88,TO,TO,1082.94
phylogeny_ms_exp1_n_260_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_260_8.phy,66,TO,2730.98,MO
phylogeny_ms_exp1_n_260_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_0.phy,83,TO,2343.41,MO
phylogeny_ms_exp1_n_280_10.phy,23,331.91,147.89000000000001,MO
phylogeny_ms_exp1_n_280_11.phy,47,TO,270.09,MO
phylogeny_ms_exp1_n_280_12.phy,93,TO,1058.19,MO
phylogeny_ms_exp1_n_280_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_14.phy,17,39.05,17.52,MO
phylogeny_ms_exp1_n_280_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_280_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_19.phy,94,TO,850.85,MO
phylogeny_ms_exp1_n_280_1.phy,27,91.75,31.17,MO
phylogeny_ms_exp1_n_280_2.phy,24,2255.65,237.46,MO
phylogeny_ms_exp1_n_280_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_280_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_0.phy,13,166.25,45.94,MO
phylogeny_ms_exp1_n_300_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_19.phy,64,44.95,24.7,MO
phylogeny_ms_exp1_n_300_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_4.phy,84,TO,2208.98,MO
phylogeny_ms_exp1_n_300_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_300_6.phy,78,403.67,40.47,MO
phylogeny_ms_exp1_n_300_7.phy,45,TO,3411.11,MO
phylogeny_ms_exp1_n_300_8.phy,144,TO,TO,1381.1
phylogeny_ms_exp1_n_300_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_12.phy,26,TO,3325.67,MO
phylogeny_ms_exp1_n_320_13.phy,68,TO,1167.97,MO
phylogeny_ms_exp1_n_320_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_5.phy,77,TO,663.08,MO
phylogeny_ms_exp1_n_320_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_7.phy,87,TO,1381.37,MO
phylogeny_ms_exp1_n_320_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_320_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_0.phy,48,40.15,26.52,MO
phylogeny_ms_exp1_n_340_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_14.phy,79,TO,2502.66,MO
phylogeny_ms_exp1_n_340_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_17.phy,27,TO,675.3,MO
phylogeny_ms_exp1_n_340_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_4.phy,84,TO,667.8,MO
phylogeny_ms_exp1_n_340_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_340_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_n_340_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_15.phy,59,366.51,167.69,MO
phylogeny_ms_exp1_n_360_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_3.phy,78,TO,2201.21,MO
phylogeny_ms_exp1_n_360_4.phy,110,TO,2215.33,MO
phylogeny_ms_exp1_n_360_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_6.phy,66,TO,554.88,MO
phylogeny_ms_exp1_n_360_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_360_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_0.phy,49,TO,451.51,MO
phylogeny_ms_exp1_n_380_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_12.phy,122,TO,1653.11,MO
phylogeny_ms_exp1_n_380_13.phy,-1,TO,TO,RTE
phylogeny_ms_exp1_n_380_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_17.phy,41,TO,3007.6800000000003,MO
phylogeny_ms_exp1_n_380_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_5.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_7.phy,142,892.39,101.7,MO
phylogeny_ms_exp1_n_380_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_380_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_11.phy,71,TO,766.48,MO
phylogeny_ms_exp1_n_400_12.phy,69,852.87,330.11,MO
phylogeny_ms_exp1_n_400_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_3.phy,19,1553.02,226.9,MO
phylogeny_ms_exp1_n_400_4.phy,102,TO,2423.24,MO
phylogeny_ms_exp1_n_400_5.phy,70,TO,733.96,MO
phylogeny_ms_exp1_n_400_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_400_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_n_40_0.phy,2,2.61,0.26,40.89
phylogeny_ms_exp1_n_40_10.phy,2,0.1,0.07,2.45
phylogeny_ms_exp1_n_40_11.phy,0,0.04,0.02,583.9
phylogeny_ms_exp1_n_40_12.phy,5,1.78,0.18,TO
phylogeny_ms_exp1_n_40_13.phy,2,0.07,0.05,TO
phylogeny_ms_exp1_n_40_14.phy,11,1.05,0.19,1599.65
phylogeny_ms_exp1_n_40_15.phy,5,0.2,0.11,TO
phylogeny_ms_exp1_n_40_16.phy,0,0.17,0.09,1.47
phylogeny_ms_exp1_n_40_17.phy,0,0.35,0.09,TO
phylogeny_ms_exp1_n_40_18.phy,0,0.07,0.04,1929.39
phylogeny_ms_exp1_n_40_19.phy,1,0.07,0.04,TO
phylogeny_ms_exp1_n_40_1.phy,5,0.23,0.12,TO
phylogeny_ms_exp1_n_40_2.phy,0,0.04,0.04,TO
phylogeny_ms_exp1_n_40_3.phy,0,0.07,0.04,TO
phylogeny_ms_exp1_n_40_4.phy,0,0.06,0.02,TO
phylogeny_ms_exp1_n_40_5.phy,2,0.07,0.05,780.72
phylogeny_ms_exp1_n_40_6.phy,3,0.06,0.07,TO
phylogeny_ms_exp1_n_40_7.phy,0,0.14,0.1,348.33
phylogeny_ms_exp1_n_40_8.phy,5,1.43,0.25,5.390000000000001
phylogeny_ms_exp1_n_40_9.phy,7,0.1,0.08,TO
phylogeny_ms_exp1_n_60_0.phy,2,2.84,0.27,7.96
phylogeny_ms_exp1_n_60_10.phy,4,0.26,0.16,TO
phylogeny_ms_exp1_n_60_11.phy,2,0.57,0.17,70.56
phylogeny_ms_exp1_n_60_12.phy,2,2.26,0.31,TO
phylogeny_ms_exp1_n_60_13.phy,0,0.23,0.13,2020.22
phylogeny_ms_exp1_n_60_14.phy,11,50.46,2.89,1002.0600000000001
phylogeny_ms_exp1_n_60_15.phy,5,3.59,0.31,TO
phylogeny_ms_exp1_n_60_16.phy,6,7.25,0.61,37.84
phylogeny_ms_exp1_n_60_17.phy,3,0.67,0.19,TO
phylogeny_ms_exp1_n_60_18.phy,0,0.16,0.11,TO
phylogeny_ms_exp1_n_60_19.phy,9,57.09,3.06,TO
phylogeny_ms_exp1_n_60_1.phy,6,0.36,0.2,5.28
phylogeny_ms_exp1_n_60_2.phy,16,3.82,0.5,TO
phylogeny_ms_exp1_n_60_3.phy,17,0.54,0.2,8.3
phylogeny_ms_exp1_n_60_4.phy,9,0.34,0.18,539.73
phylogeny_ms_exp1_n_60_5.phy,7,27.66,1.97,TO
phylogeny_ms_exp1_n_60_6.phy,5,0.47,0.2,2.03
phylogeny_ms_exp1_n_60_7.phy,13,7.96,1.0,1076.63
phylogeny_ms_exp1_n_60_8.phy,10,0.35,0.19,TO
phylogeny_ms_exp1_n_60_9.phy,20,66.26,3.95,578.49
phylogeny_ms_exp1_n_80_0.phy,7,6.32,0.45,143.02
phylogeny_ms_exp1_n_80_10.phy,14,38.5,2.57,1372.79
phylogeny_ms_exp1_n_80_11.phy,27,TO,89.17,2782.6
